pc_time_ms,datetime,risk,domain,subject_id,label,trial_id,raw_line
1782205971845,2026-06-23T18:12:51.845,warning,gait,lmh,unstable_walking,t027,"CSI_DATA,195017,1a:00:00:00:00:00,-51,11,-95,19,38,11,401662021,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,7,6,6,4,5,3,5,2,5,4,2,2,4,3,2,0,5,3,5,0,5,0,5,0,6,0,4,0,6,0,4,-3,3,-2,5,-4,7,-4,5,-1,6,-2,4,-6,7,-4,7,-6,4,-7,3,-8,4,-9,2,-10,2,-8,2,-10,0,-9,0,-8,0,-9,0,-10,0,-9,-2,-9,-3,-10,-5,-8,-6,-8,-7,-9,-7,-8,-8,-8,-8,-7,-10,-8,-10,-8,-12,-7,-14,-5,-13,-4,-14,-3,-16,-3,-17,0,-16,-2,-17,0,-20,0,-20,0,-21,2,-21,4,0,0,0,0,0,0,3,24,7,25,9,21,10,22,13,23,13,21,16,24,16,22,18,19,16,20,20,19,21,20,23,18,24,19,25,17,26,14,31,15,31,15,29,15,32,12,33,8,35,10,32,6,36,8,36,7,39,5,40,4,40,0,40,1,40,-5,43,-2,47,-2,46,-3,47,-8,46,-5,48,-6,49,-9,49,-7,51,-9,49,-8,50,-9,49,-10,51,-9,49,-11,50,-8,50,-12,48,-8,48,-10,45,-5,45,-7,46,-3,43,-6,46,-4,43,-1,45,-1,42,1,41,1,0,0,0,0,0,0,0,0,0,0]"""
1782205971852,2026-06-23T18:12:51.852,warning,gait,lmh,unstable_walking,t027,"CSI_DATA,195018,1a:00:00:00:00:00,-50,11,-95,22,35,11,401673020,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-5,5,-5,2,-5,4,-5,5,-4,5,-5,4,-5,6,-3,5,-4,6,-4,8,-2,4,-5,8,-3,9,-3,10,-4,9,-5,10,-2,11,-4,12,-3,12,-6,12,-8,13,-2,12,-5,15,-2,16,-2,16,-3,15,-4,15,-1,16,-2,17,-1,18,-2,16,-1,19,1,19,1,17,0,18,2,18,2,17,5,18,5,17,6,19,5,18,8,18,10,20,9,19,10,20,10,20,11,23,15,19,12,23,17,23,15,21,16,20,17,24,17,25,21,25,20,25,21,26,0,0,0,0,0,0,25,-24,25,-24,24,-27,26,-21,25,-27,25,-23,24,-27,26,-28,24,-27,27,-26,23,-30,24,-26,21,-31,23,-31,24,-32,18,-33,20,-36,20,-35,20,-34,18,-36,19,-39,21,-39,19,-40,19,-40,21,-40,20,-41,20,-43,16,-46,19,-45,16,-45,20,-45,21,-46,23,-48,20,-49,21,-46,27,-54,25,-48,26,-48,30,-48,32,-45,31,-45,34,-45,35,-43,33,-41,36,-40,36,-40,41,-35,41,-36,41,-31,40,-28,42,-27,42,-25,42,-23,41,-16,42,-18,42,-15,43,-9,0,0,0,0,0,0,0,0,0,0]"""
1782205971859,2026-06-23T18:12:51.859,warning,gait,lmh,unstable_walking,t027,"CSI_DATA,195019,1a:00:00:00:00:00,-49,11,-95,16,35,11,401684020,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,6,8,5,6,4,9,5,9,6,8,5,8,5,8,9,9,9,6,8,8,12,8,12,8,13,8,13,8,13,6,13,8,17,8,17,8,16,8,17,6,15,5,20,8,20,6,21,8,23,4,21,2,21,4,26,4,23,2,24,0,26,0,26,-1,24,-1,26,-4,24,-5,26,-9,24,-9,24,-8,26,-8,26,-13,26,-12,23,-16,24,-16,23,-17,26,-17,23,-20,24,-21,21,-24,23,-24,24,-30,23,-31,20,-34,23,-32,24,-34,17,-37,19,-39,17,-38,0,0,0,0,0,0,-41,-19,-45,-15,-45,-10,-46,-12,-43,-12,-42,-9,-45,-6,-48,-8,-45,-6,-46,-5,-46,-2,-45,-1,-48,1,-46,1,-48,2,-49,6,-49,6,-46,10,-48,10,-48,16,-46,17,-49,16,-46,17,-46,20,-48,20,-48,21,-48,23,-48,28,-48,26,-46,30,-49,28,-52,31,-49,31,-49,34,-48,31,-53,34,-52,32,-50,32,-54,34,-52,32,-50,30,-54,31,-54,28,-53,28,-53,24,-50,26,-52,23,-52,24,-49,19,-49,17,-49,16,-48,13,-49,10,-48,10,-50,6,-45,5,-48,-1,0,0,0,0,0,0,0,0,0,0]"""
1782205971866,2026-06-23T18:12:51.866,warning,gait,lmh,unstable_walking,t027,"CSI_DATA,195020,1a:00:00:00:00:00,-48,11,-95,17,34,11,401695020,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-2,-11,-1,-10,-1,-11,-2,-14,-1,-13,-2,-13,-1,-14,-2,-14,-2,-14,-4,-16,-4,-16,-5,-17,-8,-17,-10,-19,-7,-19,-8,-17,-10,-20,-10,-20,-10,-20,-13,-20,-13,-22,-10,-26,-11,-22,-13,-20,-14,-25,-14,-22,-14,-25,-16,-25,-16,-25,-19,-23,-20,-20,-20,-22,-22,-23,-22,-22,-25,-22,-26,-19,-26,-17,-26,-14,-29,-17,-32,-14,-32,-14,-32,-13,-34,-13,-37,-10,-35,-7,-35,-8,-38,-8,-38,-5,-40,-7,-44,-5,-43,-2,-44,0,-50,-2,-47,-2,-50,2,-53,2,-49,2,0,0,0,0,0,0,2,56,5,56,7,55,5,52,10,53,8,52,11,52,13,56,14,53,13,49,13,50,17,49,19,52,23,50,22,47,25,44,31,50,31,50,25,50,32,47,34,44,34,47,32,41,34,43,34,47,37,46,38,46,43,41,43,46,47,41,44,46,47,46,44,49,50,46,43,46,46,49,46,52,46,52,47,52,43,53,41,47,41,52,43,55,43,52,35,56,35,52,29,53,34,52,23,52,22,50,20,50,16,50,14,50,13,52,13,49,5,47,2,49,0,0,0,0,0,0,0,0,0,0]"""
1782205971873,2026-06-23T18:12:51.873,warning,gait,lmh,unstable_walking,t027,"CSI_DATA,195021,1a:00:00:00:00:00,-47,11,-95,14,34,11,401706020,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-1,13,-1,13,-3,13,-3,14,-3,14,-4,14,-4,16,-3,16,-3,19,-4,19,-3,21,-1,22,-3,22,-1,24,-1,24,-3,26,-1,26,-1,27,-3,24,1,29,1,26,-1,30,-1,27,0,30,-1,32,0,29,-3,30,0,34,1,32,4,32,0,32,3,35,3,37,6,35,6,34,8,34,8,32,11,34,13,34,14,34,14,35,16,34,17,35,21,37,21,35,21,35,24,39,24,35,26,37,29,40,32,39,30,37,30,44,32,40,37,39,37,42,37,42,0,0,0,0,0,0,44,-42,42,-40,39,-45,42,-40,40,-44,40,-39,37,-44,40,-48,40,-45,39,-45,34,-44,35,-44,35,-48,35,-50,34,-48,30,-50,30,-53,30,-50,32,-50,29,-53,22,-57,29,-57,24,-53,26,-57,29,-58,24,-58,27,-58,22,-63,26,-63,22,-63,26,-60,27,-65,29,-66,26,-65,27,-63,34,-68,34,-66,32,-65,35,-66,39,-60,35,-60,39,-60,42,-57,37,-58,44,-52,40,-52,45,-45,45,-48,47,-39,45,-39,50,-37,45,-29,47,-27,50,-22,50,-22,47,-17,48,-11,0,0,0,0,0,0,0,0,0,0]"""
1782205971880,2026-06-23T18:12:51.880,warning,gait,lmh,unstable_walking,t027,"CSI_DATA,195022,1a:00:00:00:00:00,-47,11,-95,14,34,11,401718455,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-11,-6,-11,-6,-11,-8,-11,-6,-11,-8,-11,-8,-14,-3,-14,-6,-14,-4,-14,-9,-17,-8,-17,-6,-17,-6,-21,-6,-21,-6,-21,-8,-24,-6,-24,-6,-21,-4,-26,-4,-27,-3,-27,-6,-27,-3,-27,-4,-29,-6,-30,-3,-30,-3,-30,-3,-30,-1,-29,0,-30,0,-30,1,-32,4,-32,3,-32,6,-35,9,-32,8,-34,11,-34,11,-34,16,-34,16,-34,19,-37,16,-34,21,-35,22,-32,24,-35,24,-34,29,-34,29,-34,32,-32,32,-34,37,-35,35,-37,37,-34,42,-35,40,-32,42,0,0,0,0,0,0,48,35,48,34,50,27,50,32,50,29,50,30,52,27,55,27,53,27,52,24,53,21,52,21,58,17,55,16,55,16,55,11,60,9,60,9,57,13,61,6,60,1,63,6,58,1,61,3,63,1,65,-1,66,-1,66,-8,70,-3,66,-9,66,-4,71,-8,71,-3,70,-9,68,-8,76,-4,75,-6,73,-6,76,-4,73,1,70,-1,73,-1,73,3,71,1,68,4,68,3,66,9,66,8,58,13,58,13,58,17,55,14,52,21,53,24,48,24,45,26,40,30,0,0,0,0,0,0,0,0,0,0]"""
1782205971887,2026-06-23T18:12:51.887,warning,gait,lmh,unstable_walking,t027,"CSI_DATA,195023,1a:00:00:00:00:00,-48,11,-95,15,34,11,401728321,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,9,3,11,1,9,1,12,3,9,1,11,3,11,0,12,3,11,1,14,-1,14,0,15,-3,15,-3,15,-3,17,-1,22,-1,20,-3,19,-3,20,-1,19,-7,19,-6,25,-6,22,-6,22,-7,25,-7,23,-7,28,-9,25,-9,26,-9,26,-9,26,-12,26,-14,26,-14,23,-14,25,-17,26,-17,23,-19,23,-23,22,-23,22,-23,20,-25,22,-26,23,-28,20,-30,19,-28,19,-33,19,-34,17,-33,19,-38,17,-39,14,-41,14,-41,17,-42,17,-42,11,-47,12,-49,9,-49,0,0,0,0,0,0,-53,-9,-55,-7,-53,-4,-53,-7,-53,-6,-53,-4,-55,-1,-55,0,-53,-1,-53,1,-53,1,-50,4,-55,4,-53,7,-53,9,-52,12,-55,17,-53,15,-53,15,-53,19,-53,22,-55,25,-50,22,-53,23,-55,23,-55,26,-58,28,-53,33,-57,34,-53,36,-57,36,-57,38,-60,34,-58,39,-57,36,-60,34,-63,38,-58,33,-63,36,-64,31,-60,31,-61,33,-64,30,-61,30,-63,25,-61,23,-61,19,-60,23,-60,17,-58,14,-58,11,-57,9,-55,6,-60,4,-53,1,-50,-1,-49,-7,0,0,0,0,0,0,0,0,0,0]"""
1782205971894,2026-06-23T18:12:51.894,warning,gait,lmh,unstable_walking,t027,"CSI_DATA,195024,1a:00:00:00:00:00,-49,11,-95,20,34,11,401739020,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-2,2,-2,4,-2,1,-4,4,-2,2,-4,4,-2,2,-1,5,-2,8,0,8,0,6,0,8,1,9,4,9,-1,10,-1,15,1,13,1,13,1,15,5,15,2,15,-1,17,0,17,1,19,0,19,0,17,-1,20,-1,21,1,21,1,21,0,20,1,24,1,21,1,24,2,23,1,24,4,24,4,26,4,27,8,27,8,28,6,27,5,27,9,30,6,27,9,28,9,31,12,31,12,30,13,34,15,32,15,32,13,39,13,35,20,38,19,39,23,39,0,0,0,0,0,0,46,-17,45,-19,41,-19,41,-16,41,-20,42,-17,41,-21,43,-21,41,-20,39,-19,39,-20,41,-21,43,-26,42,-24,39,-23,38,-26,41,-32,38,-30,41,-27,41,-31,38,-32,43,-30,37,-31,41,-31,41,-32,42,-35,43,-34,39,-38,43,-38,41,-38,45,-35,48,-38,49,-38,48,-37,48,-34,52,-37,53,-38,53,-32,57,-34,56,-30,54,-30,59,-28,59,-26,57,-27,63,-20,59,-19,60,-13,60,-16,54,-9,53,-5,56,-2,54,-4,53,2,53,4,52,12,46,10,46,16,0,0,0,0,0,0,0,0,0,0]"""
1782205971901,2026-06-23T18:12:51.901,warning,gait,lmh,unstable_walking,t027,"CSI_DATA,195025,1a:00:00:00:00:00,-50,11,-95,17,36,11,401750122,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,1,-2,2,-3,3,-2,3,-1,4,1,3,1,1,1,3,0,3,3,3,3,3,4,1,5,1,7,2,7,0,8,1,7,1,10,0,11,-2,10,-1,14,-2,15,-3,11,-4,14,-3,14,-3,14,-4,15,-4,14,-5,16,-3,15,-3,16,-5,17,-3,17,-5,17,-4,19,-5,19,-5,19,-3,19,-2,17,-3,22,0,22,-1,21,1,20,-1,21,1,23,0,23,-1,23,1,26,3,24,4,26,4,28,3,28,4,29,4,30,4,30,9,32,5,32,9,32,0,0,0,0,0,0,36,-8,38,-8,32,-11,33,-11,34,-11,34,-10,34,-15,33,-16,34,-16,33,-14,33,-14,34,-16,35,-20,33,-20,32,-21,30,-22,30,-26,33,-24,33,-24,34,-28,28,-30,32,-29,24,-27,29,-32,29,-30,30,-34,32,-33,27,-38,29,-40,27,-39,29,-39,30,-42,32,-42,29,-43,29,-40,33,-43,33,-42,34,-43,35,-45,36,-41,34,-40,34,-41,39,-42,38,-41,39,-39,38,-39,39,-34,41,-36,40,-28,39,-27,41,-27,39,-24,42,-23,43,-21,41,-17,41,-16,42,-10,0,0,0,0,0,0,0,0,0,0]"""
1782205971908,2026-06-23T18:12:51.908,warning,gait,lmh,unstable_walking,t027,"CSI_DATA,195026,1a:00:00:00:00:00,-51,11,-95,15,38,11,401761036,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,7,7,5,6,8,8,6,9,5,9,5,10,4,9,4,11,2,12,3,13,1,13,-1,13,2,13,2,14,-1,14,-4,13,-2,16,-4,16,-4,17,-8,14,-8,15,-5,15,-6,15,-6,17,-6,17,-7,16,-7,15,-8,17,-7,16,-7,16,-8,15,-8,19,-6,17,-6,16,-5,17,-6,18,-5,17,-5,17,-4,19,-1,19,-3,20,-3,20,-3,20,0,22,0,20,-2,20,0,23,3,22,1,22,1,25,4,25,3,25,5,26,5,27,5,28,7,28,8,27,0,0,0,0,0,0,31,-10,30,-11,28,-10,29,-10,29,-9,28,-12,29,-13,29,-16,28,-13,28,-13,26,-15,26,-16,24,-19,26,-20,26,-20,22,-20,25,-24,24,-23,23,-25,20,-25,19,-28,22,-27,19,-28,19,-31,20,-31,20,-32,18,-34,16,-35,17,-39,15,-38,15,-38,17,-41,16,-42,12,-44,15,-40,17,-47,16,-46,13,-44,16,-48,17,-45,14,-45,18,-45,17,-48,14,-47,20,-45,17,-46,19,-44,19,-45,19,-41,19,-40,22,-40,23,-38,23,-37,21,-36,27,-35,24,-33,29,-29,0,0,0,0,0,0,0,0,0,0]"""
