pc_time_ms,datetime,risk,domain,subject_id,label,trial_id,raw_line
1782189682411,2026-06-23T13:41:22.411,warning,gait,mhw,unstable_walking,t054,"CSI_DATA,484272,1a:00:00:00:00:00,-47,11,-99,19,29,11,1416927815,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-20,7,-22,4,-21,6,-22,7,-25,4,-23,4,-22,5,-27,4,-29,5,-31,5,-29,0,-32,2,-31,2,-34,1,-35,0,-35,1,-34,0,-34,-2,-32,1,-33,0,-35,0,-38,1,-37,-1,-32,-2,-37,-3,-34,-1,-39,-5,-38,0,-34,0,-35,0,-35,-2,-32,2,-33,3,-33,5,-35,6,-38,6,-35,4,-33,4,-34,5,-37,9,-34,9,-37,10,-33,8,-37,11,-31,10,-31,14,-33,13,-34,15,-37,16,-37,15,-34,13,-39,16,-40,13,-33,14,-39,16,-35,16,-35,15,0,0,0,0,0,0,13,41,13,38,13,29,13,33,11,35,8,32,11,31,10,31,8,30,9,28,11,27,10,26,13,27,10,26,9,23,9,27,11,22,11,22,11,25,11,22,14,19,10,21,10,16,11,16,13,19,15,20,13,19,13,17,13,18,15,18,15,20,13,20,14,20,13,17,13,19,10,18,13,17,14,18,14,18,13,21,10,19,9,19,10,21,8,21,7,21,8,19,6,19,6,19,4,16,5,17,3,17,5,17,5,18,3,18,0,16,0,17,-2,18,0,0,0,0,0,0,0,0,0,0]"""
1782189682428,2026-06-23T13:41:22.428,warning,gait,mhw,unstable_walking,t054,"CSI_DATA,484273,1a:00:00:00:00:00,-48,11,-99,18,29,11,1416938815,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,15,-13,16,-15,14,-13,20,-16,15,-15,23,-16,24,-14,21,-12,23,-16,22,-11,26,-16,28,-16,28,-17,25,-17,29,-19,25,-15,30,-20,26,-17,32,-19,32,-17,26,-16,32,-15,30,-14,30,-17,30,-19,29,-16,29,-16,32,-19,24,-17,29,-23,25,-20,31,-26,29,-22,25,-23,26,-22,24,-23,23,-21,22,-29,23,-28,19,-24,23,-26,14,-30,19,-34,16,-32,24,-38,20,-30,15,-32,21,-30,15,-30,15,-33,13,-39,13,-35,15,-35,13,-35,13,-37,14,-40,13,-37,0,0,0,0,0,0,-35,-13,-31,-10,-39,-11,-35,-12,-28,-8,-34,-12,-26,-7,-32,-11,-28,-5,-32,-11,-30,-10,-26,-6,-25,-6,-23,-6,-28,-4,-24,-3,-26,-4,-22,-4,-24,-3,-22,-1,-24,-1,-22,2,-26,0,-23,-2,-21,0,-21,1,-21,1,-22,3,-23,1,-22,2,-20,3,-23,2,-19,3,-23,5,-21,5,-26,5,-24,0,-20,4,-22,1,-17,2,-21,1,-23,3,-21,2,-17,0,-20,-1,-17,2,-21,1,-19,-1,-22,-2,-16,-2,-17,-3,-15,-4,-16,-3,-15,-5,-19,-3,-15,-3,-14,-5,0,0,0,0,0,0,0,0,0,0]"""
1782189682442,2026-06-23T13:41:22.442,warning,gait,mhw,unstable_walking,t054,"CSI_DATA,484274,1a:00:00:00:00:00,-48,11,-99,18,29,11,1416949815,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-5,19,-6,23,-5,20,-10,25,-7,20,-13,28,-13,25,-13,21,-13,25,-14,22,-16,25,-16,26,-19,28,-17,24,-23,29,-19,23,-22,29,-19,25,-28,30,-29,25,-25,24,-25,24,-23,20,-25,26,-25,26,-25,24,-25,22,-30,24,-21,22,-24,25,-24,23,-33,31,-25,24,-22,25,-28,25,-23,24,-20,24,-23,30,-21,28,-20,25,-25,28,-15,26,-20,34,-21,29,-28,34,-23,26,-21,33,-24,28,-21,28,-21,29,-22,35,-19,31,-25,34,-24,28,-22,31,-25,34,-24,29,0,0,0,0,0,0,29,26,23,22,31,29,24,28,20,20,24,26,19,19,24,28,19,19,23,26,20,23,16,21,19,20,13,17,19,20,17,19,16,17,15,17,16,21,14,13,17,16,14,14,16,19,16,16,14,16,15,16,13,14,17,13,15,14,15,14,13,13,15,17,14,12,16,16,14,14,16,20,12,17,14,17,13,19,10,16,11,15,12,19,12,19,10,16,6,20,8,15,8,17,6,17,6,22,3,16,3,17,2,17,1,15,0,14,2,19,-1,15,-3,16,0,0,0,0,0,0,0,0,0,0]"""
1782189682449,2026-06-23T13:41:22.449,warning,gait,mhw,unstable_walking,t054,"CSI_DATA,484275,1a:00:00:00:00:00,-48,11,-99,11,28,11,1416960815,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,115,3,-66,20,60,-63,-6,-104,-49,30,69,18,-33,35,63,44,55,10,-6,4,93,-16,52,16,53,-6,46,24,18,-21,44,-15,18,-15,36,10,40,-6,35,1,41,6,36,-7,40,0,38,0,40,-4,36,-6,33,-6,33,-4,35,-9,35,-10,35,-6,35,-9,33,-7,35,-6,35,-6,35,-10,35,-10,32,-12,33,-10,32,-10,35,-9,29,-18,30,-18,35,-18,35,-20,33,-12,32,-18,36,-15,32,-18,38,-20,32,-21,33,-21,35,-21,38,-21,32,-24,33,-20,36,-20,0,0,0,0,0,0,-18,-35,-20,-33,-15,-33,-15,-32,-13,-30,-15,-32,-15,-29,-15,-29,-13,-29,-12,-27,-12,-27,-7,-26,-13,-26,-10,-24,-10,-24,-12,-21,-12,-21,-13,-21,-9,-21,-13,-18,-15,-18,-13,-20,-10,-18,-12,-16,-10,-20,-13,-18,-12,-18,-13,-15,-13,-16,-12,-16,-12,-16,-10,-18,-15,-15,-15,-15,-13,-16,-13,-18,-12,-16,-12,-18,-10,-18,-12,-18,-10,-20,-10,-20,-10,-18,-9,-18,-7,-18,-10,-16,-9,-16,-6,-18,-4,-18,-3,-16,-3,-18,-1,-16,-4,-16,0,-16,0,-18,1,-15,1,-15,0,0,0,0,0,0,0,0,0,0]"""
1782189682456,2026-06-23T13:41:22.456,warning,gait,mhw,unstable_walking,t054,"CSI_DATA,484276,1a:00:00:00:00:00,-48,11,-99,18,29,11,1416971815,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,13,-19,13,-17,15,-21,13,-20,17,-21,17,-17,15,-20,20,-22,19,-21,20,-25,21,-21,22,-23,22,-23,24,-23,22,-22,30,-26,23,-25,28,-25,23,-22,22,-22,26,-25,24,-26,26,-29,24,-24,25,-24,24,-28,28,-25,22,-28,29,-26,24,-26,21,-25,19,-23,17,-31,19,-28,16,-32,17,-32,17,-32,19,-30,17,-31,16,-34,14,-34,16,-34,14,-32,10,-34,10,-28,6,-38,10,-33,3,-38,8,-39,7,-40,11,-34,10,-39,8,-38,8,-41,11,-39,7,-39,4,-39,0,0,0,0,0,0,-39,-5,-40,-7,-30,-4,-34,-4,-38,-6,-31,-6,-33,-7,-29,-6,-33,-5,-26,-4,-25,-2,-30,-2,-26,0,-29,0,-24,-2,-24,0,-26,1,-23,-1,-22,1,-25,-1,-22,2,-23,1,-19,1,-21,3,-21,3,-21,3,-22,5,-20,3,-22,2,-20,6,-21,4,-19,6,-23,3,-20,5,-20,4,-19,3,-20,6,-20,3,-20,7,-21,5,-20,3,-19,1,-22,-1,-21,2,-19,2,-20,0,-19,-2,-17,2,-15,1,-19,0,-15,-1,-16,1,-17,-2,-16,-2,-14,-4,-13,-4,-13,-5,0,0,0,0,0,0,0,0,0,0]"""
1782189682462,2026-06-23T13:41:22.462,warning,gait,mhw,unstable_walking,t054,"CSI_DATA,484277,1a:00:00:00:00:00,-48,11,-99,15,30,11,1416982815,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,20,-6,26,-6,21,-4,27,-2,23,-6,30,-3,31,0,27,2,30,1,29,1,33,-1,33,1,33,3,33,5,34,5,30,5,35,6,31,4,38,10,38,13,31,11,33,9,31,14,37,13,37,10,33,10,31,11,35,10,31,8,35,8,32,8,40,11,35,11,34,9,34,10,32,9,31,8,35,5,33,9,31,5,34,7,32,2,39,2,37,4,42,8,35,7,38,6,35,9,32,6,37,8,41,5,35,5,41,8,39,9,40,6,40,9,39,10,0,0,0,0,0,0,11,-38,10,-30,13,-38,11,-33,10,-26,11,-32,9,-28,13,-31,9,-26,14,-29,15,-26,9,-23,11,-22,14,-21,11,-23,10,-22,10,-22,10,-20,11,-21,8,-17,8,-19,6,-19,8,-20,9,-20,10,-18,9,-18,9,-16,6,-19,8,-19,9,-19,7,-16,8,-19,8,-17,8,-20,9,-17,14,-20,14,-18,10,-17,14,-16,13,-14,13,-15,13,-17,15,-15,14,-13,14,-13,11,-14,15,-13,15,-10,17,-10,15,-7,15,-7,16,-5,14,-4,16,-3,15,-3,14,-2,14,-1,0,0,0,0,0,0,0,0,0,0]"""
1782189682469,2026-06-23T13:41:22.469,warning,gait,mhw,unstable_walking,t054,"CSI_DATA,484278,1a:00:00:00:00:00,-48,11,-99,18,29,11,1416993815,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,23,3,22,4,26,3,25,3,28,4,26,6,26,4,32,4,30,5,33,4,31,4,32,6,34,4,34,5,32,3,38,6,33,2,37,1,33,2,38,4,41,1,35,3,38,0,37,-1,35,1,35,-1,35,-2,33,-7,39,-5,34,-7,33,-8,32,-8,33,-14,33,-12,31,-16,32,-14,30,-15,30,-16,32,-17,29,-21,24,-22,30,-23,25,-21,23,-29,22,-23,22,-32,22,-26,19,-31,23,-30,21,-32,23,-31,21,-31,20,-32,21,-34,19,-35,19,-34,15,-38,0,0,0,0,0,0,-33,-13,-37,-13,-31,-12,-32,-8,-35,-11,-28,-8,-32,-11,-28,-7,-30,-6,-25,-6,-26,-5,-29,-3,-25,-4,-26,-2,-25,-1,-22,-3,-24,-1,-23,1,-22,2,-23,0,-21,3,-22,4,-19,3,-21,5,-21,7,-19,5,-21,5,-20,8,-20,7,-19,8,-19,8,-16,8,-20,8,-19,8,-17,8,-17,8,-17,12,-19,10,-19,11,-16,8,-19,7,-16,7,-19,7,-17,7,-15,10,-16,7,-15,6,-14,10,-14,5,-17,7,-16,6,-15,6,-15,5,-15,6,-15,5,-14,2,-14,2,0,0,0,0,0,0,0,0,0,0]"""
1782189682478,2026-06-23T13:41:22.478,warning,gait,mhw,unstable_walking,t054,"CSI_DATA,484279,1a:00:00:00:00:00,-48,11,-99,20,29,11,1417004815,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-23,10,-22,9,-26,12,-24,9,-29,9,-25,6,-24,9,-28,8,-31,10,-31,10,-30,6,-31,6,-31,6,-36,7,-33,6,-39,6,-33,8,-37,7,-29,4,-31,9,-33,8,-37,9,-39,8,-34,5,-37,3,-34,5,-38,6,-33,9,-39,9,-33,10,-33,10,-28,10,-31,15,-33,13,-31,15,-33,15,-33,14,-29,13,-32,15,-33,20,-28,19,-31,19,-27,18,-28,24,-25,16,-26,24,-27,22,-25,26,-28,26,-26,25,-28,22,-30,25,-29,24,-30,26,-28,25,-28,23,-26,26,0,0,0,0,0,0,22,28,25,31,20,24,24,24,22,29,16,23,20,26,19,23,21,24,15,19,18,19,19,21,20,19,20,20,14,20,14,19,16,16,18,18,16,15,18,14,14,12,15,13,13,11,15,12,18,12,18,11,18,13,15,11,15,13,15,12,15,12,16,10,18,13,16,12,18,12,14,11,18,10,15,11,16,11,16,13,15,14,13,14,14,18,14,15,13,14,12,14,9,14,11,13,8,12,11,13,9,13,9,14,9,16,6,15,6,13,3,13,3,14,0,0,0,0,0,0,0,0,0,0]"""
1782189682486,2026-06-23T13:41:22.486,warning,gait,mhw,unstable_walking,t054,"CSI_DATA,484280,1a:00:00:00:00:00,-48,11,-99,15,30,11,1417015815,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,25,-3,23,-1,28,-2,26,-2,29,0,25,0,23,-2,29,-1,32,-1,33,-2,30,2,32,0,32,-1,35,2,35,3,38,1,33,-1,35,1,31,0,30,-2,38,2,37,-4,38,-3,34,-1,35,-2,34,-3,35,-3,35,-5,37,-4,33,-6,33,-5,30,-8,31,-11,29,-10,31,-15,33,-15,32,-14,30,-11,30,-15,31,-19,29,-17,30,-18,28,-18,28,-22,23,-18,25,-21,25,-25,22,-26,26,-28,26,-28,26,-22,27,-26,27,-26,26,-26,26,-26,21,-25,21,-30,0,0,0,0,0,0,-27,-22,-27,-26,-20,-17,-25,-21,-26,-21,-20,-21,-22,-21,-22,-17,-23,-19,-18,-15,-19,-14,-19,-16,-22,-15,-22,-15,-18,-15,-19,-14,-20,-10,-20,-11,-19,-13,-21,-10,-18,-9,-19,-10,-15,-7,-18,-5,-19,-6,-21,-5,-20,-7,-17,-7,-20,-6,-18,-6,-19,-6,-20,-4,-19,-6,-19,-4,-20,-5,-18,-6,-20,-3,-19,-3,-21,-3,-21,-5,-20,-7,-16,-7,-20,-6,-21,-8,-19,-8,-19,-8,-14,-9,-17,-8,-14,-7,-14,-7,-15,-7,-15,-7,-15,-8,-16,-10,-10,-8,-10,-10,-10,-11,0,0,0,0,0,0,0,0,0,0]"""
1782189682494,2026-06-23T13:41:22.494,warning,gait,mhw,unstable_walking,t054,"CSI_DATA,484281,1a:00:00:00:00:00,-48,11,-99,16,30,11,1417026815,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-9,-22,-7,-16,-11,-25,-9,-20,-11,-28,-8,-23,-9,-24,-12,-27,-9,-26,-14,-30,-11,-27,-10,-27,-11,-30,-11,-30,-10,-27,-13,-36,-11,-28,-13,-34,-11,-28,-12,-26,-13,-32,-16,-29,-16,-34,-16,-28,-15,-30,-18,-30,-18,-30,-16,-23,-20,-31,-18,-24,-22,-25,-19,-20,-25,-22,-23,-20,-28,-18,-26,-19,-28,-20,-25,-16,-27,-18,-30,-15,-26,-11,-31,-15,-25,-13,-33,-8,-25,-8,-33,-7,-31,-9,-34,-4,-33,-6,-37,-5,-31,-5,-36,-7,-33,-4,-39,-4,-37,-5,-32,-1,-36,0,0,0,0,0,0,0,1,33,-2,37,1,28,0,32,1,37,1,27,1,33,0,25,3,30,1,25,2,25,5,26,5,26,4,25,4,23,4,23,7,21,7,22,6,16,7,24,7,18,8,20,8,15,9,18,10,16,9,15,10,19,10,16,9,16,12,16,12,18,12,14,12,20,10,15,12,15,10,13,14,15,11,18,14,15,13,16,12,18,11,18,12,16,12,18,12,14,13,21,7,15,12,16,10,12,11,16,9,16,10,14,9,14,8,18,7,14,6,13,5,13,0,0,0,0,0,0,0,0,0,0]"""
