created_at,subject,label,source_ambient,target_ambient,source_trial,aircon_reference_trial,target_trial,source_file,aircon_reference_file,target_file,rows,source_mean_abs,air_mean_abs,scale,residual_weight,method
2026-06-24T12:26:51,yja,lying_fast_breath,quiet,aircon,t001,t021,t028,data/warning/breathing/lying_fast_breath/yja/yja_lying_fast_breath_t001.csv,data/warning/breathing/lying_fast_breath/yja/yja_lying_fast_breath_t021.csv,data/warning/breathing/lying_fast_breath/yja/yja_lying_fast_breath_t028.csv,1877,18.925,25.596,1.352,0.150,quiet_scaled_plus_aircon_residual
2026-06-24T12:26:57,yja,lying_fast_breath,quiet,aircon,t002,t022,t029,data/warning/breathing/lying_fast_breath/yja/yja_lying_fast_breath_t002.csv,data/warning/breathing/lying_fast_breath/yja/yja_lying_fast_breath_t022.csv,data/warning/breathing/lying_fast_breath/yja/yja_lying_fast_breath_t029.csv,1869,19.401,25.696,1.324,0.150,quiet_scaled_plus_aircon_residual
2026-06-24T12:27:03,yja,lying_fast_breath,quiet,aircon,t003,t023,t030,data/warning/breathing/lying_fast_breath/yja/yja_lying_fast_breath_t003.csv,data/warning/breathing/lying_fast_breath/yja/yja_lying_fast_breath_t023.csv,data/warning/breathing/lying_fast_breath/yja/yja_lying_fast_breath_t030.csv,1846,19.960,25.432,1.274,0.150,quiet_scaled_plus_aircon_residual
2026-06-24T12:27:10,yja,lying_fast_breath,quiet,aircon,t004,t024,t031,data/warning/breathing/lying_fast_breath/yja/yja_lying_fast_breath_t004.csv,data/warning/breathing/lying_fast_breath/yja/yja_lying_fast_breath_t024.csv,data/warning/breathing/lying_fast_breath/yja/yja_lying_fast_breath_t031.csv,1852,20.282,25.324,1.249,0.150,quiet_scaled_plus_aircon_residual
2026-06-24T12:27:16,yja,lying_fast_breath,quiet,aircon,t005,t025,t032,data/warning/breathing/lying_fast_breath/yja/yja_lying_fast_breath_t005.csv,data/warning/breathing/lying_fast_breath/yja/yja_lying_fast_breath_t025.csv,data/warning/breathing/lying_fast_breath/yja/yja_lying_fast_breath_t032.csv,1866,20.842,25.897,1.243,0.150,quiet_scaled_plus_aircon_residual
2026-06-24T12:27:24,yja,lying_fast_breath,quiet,aircon,t006,t026,t033,data/warning/breathing/lying_fast_breath/yja/yja_lying_fast_breath_t006.csv,data/warning/breathing/lying_fast_breath/yja/yja_lying_fast_breath_t026.csv,data/warning/breathing/lying_fast_breath/yja/yja_lying_fast_breath_t033.csv,1859,18.514,26.630,1.438,0.150,quiet_scaled_plus_aircon_residual
2026-06-24T12:27:31,yja,lying_fast_breath,quiet,aircon,t007,t027,t034,data/warning/breathing/lying_fast_breath/yja/yja_lying_fast_breath_t007.csv,data/warning/breathing/lying_fast_breath/yja/yja_lying_fast_breath_t027.csv,data/warning/breathing/lying_fast_breath/yja/yja_lying_fast_breath_t034.csv,1872,18.205,24.978,1.372,0.150,quiet_scaled_plus_aircon_residual
2026-06-24T12:27:38,yja,lying_fast_breath,quiet,aircon,t008,t021,t035,data/warning/breathing/lying_fast_breath/yja/yja_lying_fast_breath_t008.csv,data/warning/breathing/lying_fast_breath/yja/yja_lying_fast_breath_t021.csv,data/warning/breathing/lying_fast_breath/yja/yja_lying_fast_breath_t035.csv,1851,18.148,25.596,1.410,0.150,quiet_scaled_plus_aircon_residual
2026-06-24T12:27:44,yja,lying_fast_breath,quiet,aircon,t009,t022,t036,data/warning/breathing/lying_fast_breath/yja/yja_lying_fast_breath_t009.csv,data/warning/breathing/lying_fast_breath/yja/yja_lying_fast_breath_t022.csv,data/warning/breathing/lying_fast_breath/yja/yja_lying_fast_breath_t036.csv,1875,19.136,25.696,1.343,0.150,quiet_scaled_plus_aircon_residual
2026-06-24T12:27:50,yja,lying_fast_breath,quiet,aircon,t010,t023,t037,data/warning/breathing/lying_fast_breath/yja/yja_lying_fast_breath_t010.csv,data/warning/breathing/lying_fast_breath/yja/yja_lying_fast_breath_t023.csv,data/warning/breathing/lying_fast_breath/yja/yja_lying_fast_breath_t037.csv,1867,18.969,25.432,1.341,0.150,quiet_scaled_plus_aircon_residual
