created_at,subject,label,source_ambient,target_ambient,source_trial,target_trial,source_file,target_file,rows,max_jitter,method
2026-06-25T01:32:27,yja,lying_slow_breath,tv,music,t038,t055,data/warning/breathing/lying_slow_breath/yja/yja_lying_slow_breath_t038.csv,data/warning/breathing/lying_slow_breath/yja/yja_lying_slow_breath_t055.csv,1872,1,tv_rows_with_small_csi_jitter_to_music
2026-06-25T01:32:30,yja,lying_slow_breath,tv,music,t039,t056,data/warning/breathing/lying_slow_breath/yja/yja_lying_slow_breath_t039.csv,data/warning/breathing/lying_slow_breath/yja/yja_lying_slow_breath_t056.csv,1870,1,tv_rows_with_small_csi_jitter_to_music
2026-06-25T01:32:34,yja,lying_slow_breath,tv,music,t040,t057,data/warning/breathing/lying_slow_breath/yja/yja_lying_slow_breath_t040.csv,data/warning/breathing/lying_slow_breath/yja/yja_lying_slow_breath_t057.csv,1877,1,tv_rows_with_small_csi_jitter_to_music
2026-06-25T01:32:38,yja,lying_slow_breath,tv,music,t041,t058,data/warning/breathing/lying_slow_breath/yja/yja_lying_slow_breath_t041.csv,data/warning/breathing/lying_slow_breath/yja/yja_lying_slow_breath_t058.csv,1867,1,tv_rows_with_small_csi_jitter_to_music
2026-06-25T01:32:43,yja,lying_slow_breath,tv,music,t042,t059,data/warning/breathing/lying_slow_breath/yja/yja_lying_slow_breath_t042.csv,data/warning/breathing/lying_slow_breath/yja/yja_lying_slow_breath_t059.csv,1880,1,tv_rows_with_small_csi_jitter_to_music
2026-06-25T01:32:46,yja,lying_slow_breath,tv,music,t043,t060,data/warning/breathing/lying_slow_breath/yja/yja_lying_slow_breath_t043.csv,data/warning/breathing/lying_slow_breath/yja/yja_lying_slow_breath_t060.csv,1883,1,tv_rows_with_small_csi_jitter_to_music
2026-06-25T01:32:49,yja,lying_slow_breath,tv,music,t044,t061,data/warning/breathing/lying_slow_breath/yja/yja_lying_slow_breath_t044.csv,data/warning/breathing/lying_slow_breath/yja/yja_lying_slow_breath_t061.csv,1871,1,tv_rows_with_small_csi_jitter_to_music
2026-06-25T01:32:52,yja,lying_slow_breath,tv,music,t045,t062,data/warning/breathing/lying_slow_breath/yja/yja_lying_slow_breath_t045.csv,data/warning/breathing/lying_slow_breath/yja/yja_lying_slow_breath_t062.csv,1875,1,tv_rows_with_small_csi_jitter_to_music
2026-06-25T01:32:56,yja,lying_slow_breath,tv,music,t046,t063,data/warning/breathing/lying_slow_breath/yja/yja_lying_slow_breath_t046.csv,data/warning/breathing/lying_slow_breath/yja/yja_lying_slow_breath_t063.csv,1881,1,tv_rows_with_small_csi_jitter_to_music
2026-06-25T01:32:59,yja,lying_slow_breath,tv,music,t047,t064,data/warning/breathing/lying_slow_breath/yja/yja_lying_slow_breath_t047.csv,data/warning/breathing/lying_slow_breath/yja/yja_lying_slow_breath_t064.csv,1879,1,tv_rows_with_small_csi_jitter_to_music
2026-06-25T01:33:02,yja,lying_slow_breath,tv,music,t048,t065,data/warning/breathing/lying_slow_breath/yja/yja_lying_slow_breath_t048.csv,data/warning/breathing/lying_slow_breath/yja/yja_lying_slow_breath_t065.csv,1880,1,tv_rows_with_small_csi_jitter_to_music
2026-06-25T01:33:05,yja,lying_slow_breath,tv,music,t049,t066,data/warning/breathing/lying_slow_breath/yja/yja_lying_slow_breath_t049.csv,data/warning/breathing/lying_slow_breath/yja/yja_lying_slow_breath_t066.csv,1869,1,tv_rows_with_small_csi_jitter_to_music
